icao24,registration,manufacturername,model,typecode,operator,operatorcallsign,operatoricao,operatoriata
3c0caa,D-ATUR,Boeing,737NG 8K5/W,B738,,,TUI,
345385,EC-MOX,Bombardier,CRJ 1000 NG,CRJX,Binter Canarias,,IBB,NT
3c6705,D-AIXE,Airbus,A350 941,A359,,LUFTHANSA,DLH,
39e68e,F-HZUO,,,BCS3,,,,
34604e,EC-MXV,,A350-941,A359,Iberia Airlines,IBERIA,IBE,IB
780aaa,B-LRF,Airbus Industrie,A350-941,A359,Cathay Pacific,CATHAY,CPA,CX
39a123,F-HIJD,Cessna,Citation CJ2+,C25A,Ixair,X-BIRD,IXR,
4cac65,EI-AZD,,,B738,,,,
400fdb,G-EZBJ,Airbus Sas,AIRBUS A319-111,A319,,EASY,EZY,
3444c9,EC-MAH,Airbus,A320 214SL,A320,,VUELING,VLG,
345398,EC-MQE,Airbus,A320 232SL,A320,,VUELING,VLG,
34310d,EC-KLD,Boeing,757 236F,B752,Cygnus Air,CYGNUS AIR,RGN,
3c6473,D-AICS,,,A320,,,,
3c66b4,D-AIUT,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
4c01ec,YU-APM,,,A319,,,,
406cdd,G-POWM,Airbus Sas,AIRBUS A320-232,A320,Titan Airways,ZAP,AWC,ZT
44ce62,OO-SSB,Airbus,A319 111,A319,Brussels Airlines,BEE-LINE,BEL,SN
3965a1,F-GZNB,Boeing,Boeing 777-328(ER),B77W,,AIRFRANS,AFR,
5140c2,4L-NIK,,,B737,,,,
3c65d7,D-AINW,Airbus,Airbus 320-271N,A20N,Lufthansa,LUFTHANSA,DLH,LH
45ce4b,OY-SRK,Boeing,767 204ERBDSF,B762,Star Air,,,S6
4ca857,EI-EMO,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
44cdca,OO-SNJ,Airbus Industrie,A320-214,A320,Brussels Airlines,BEE-LINE,BEL,SN
3c6654,D-AIRT,Airbus,A321 131,A321,,LUFTHANSA,DLH,
502d5b,YL-ABJ,,,BCS3,,,,
4b191a,HB-JNE,Boeing,777-3DEER,B77W,Swiss International Air Lines,SWISS,SWR,LX
40622b,G-EZTT,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
4ca8d6,EI-ENK,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
344409,EC-LVS,Airbus,A320 232SL,A320,,VUELING,VLG,
4402a3,OE-LXE,,,A320,Austrian Airlines,AUSTRIAN,AUA,OS
346088,EC-MYB,,Airbus A320-214,A320,Vueling Airlines,VUELING,VLG,VY
4b1920,HB-JNK,Boeing,B777-300(ER),B77W,Swiss International Air Lines,SWISS,SWR,LX
4ca302,EI-DLW,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
495214,CS-TPT,Embraer,EMB-190 LR,E190,,AIR PORTUGAL,TAP,
780c5c,B-2092,Boeing,Boeing 777-FFT,B77L,,,,
a34bb1,N311MX,Piper Aircraft Inc,PA-46-600TP,M600,,,,
71c359,HL8359,, Airbus A350-941,A359,Asiana Airlines,ASIANA,AAR,OZ
344216,EC-LPR,Boeing,737NG 85P/W,B738,,EUROPA,AEA,
3c648c,D-AIDL,Airbus,A321 231,A321,,LUFTHANSA,DLH,
0a008a,7T-VKK,Boeing,737NG 8D6/W,B738,,AIR ALGERIE,DAH,
345249,EC-MMU,Airbus,A321 231SL,A321,,VUELING,VLG,
e8020f,CC-BBJ,Boeing,787 8,B788,,LAN,LAN,
a8f77c,N677UA,Boeing,767-322,B763,,UNITED,UAL,
394c09,F-GTAJ,Airbus,A321 212,A321,,AIRFRANS,AFR,
4ca61d,EI-DWP,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
3c70c8,D-ALFH,Boeing,777-F,B77L,Lufthansa Cargo,LUFTHANSA CARGO,GEC,LH
3c5c41,D-AGBA,Dassault,Falcon 8X,FA8X,,,,
485564,PH-CBV,,,F2TH,,,,
4b17ff,HB-JCH,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),BCS3,Swiss International Air Lines Ltd.,SWISS,SWR,LX
394a15,F-GSQV,Boeing,Boeing 777-328(ER) ,B77W,Air France,AIRFRANS,AFR,AF
440062,OE-IVF,Airbus,Airbus A320-214,A320,Easyjet,EASY,EZY,U2
406b6c,G-LCYS,Embraer Sa,ERJ 190-100 SR Embraer 190,E190,,FLYER,CFE,
4d226a,9H-QDU,,,B738,,,,
4ca708,EI-EBL,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
3c65c2,D-AINB,Airbus,A320 271NSL,A20N,,LUFTHANSA,DLH,
7380c5,4X-EDF,,B787-9,B789,El Al Israel Airlines,ELAL,ELY,LY
4d2092,9H-MSL,Dassault,Dassault Falcon 50,FA50,,,,
34224e,EC-JLI,Airbus,A321 213,A321,,,IBS,
493286,CS-LTF,,,C68A,,,,
4ca8f5,EI-IMH,Airbus Industrie,A319-112,A319,,ALITALIA,AZA,
400b84,G-DBCF,Airbus Sas,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
4ca4ef,EI-DPK,The Boeing Company,BOEING 737-8AS,B738,Ryanair,RYANAIR,RYR,FR
4ca765,EI-EFJ,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
3c56ea,D-AEWJ,Airbus,A320 214SL,A320,,EUROWINGS,EWG,
3c6562,D-AIKB,Airbus,A330 343X,A333,,LUFTHANSA,DLH,
405638,G-EZDJ,Airbus Sas,AIRBUS A319-111,A319,,EASY,EZY,
440132,OE-LQI,,,A319,,,,
48af00,SP-LVA,,,B38M,,,,
440c35,OE-LSA,,,A20N,,,,
3c55c3,D-AENC,,,A20N,,,,
a31a76,N29984,Boeing,787-9,B789,,,,
4ca82f,EI-DTO,Airbus Industrie,A320-216,A320,,ALITALIA,AZA,
3c4a02,D-ABPB,,,B789,,,,
344485,EC-LYJ,,,AT73,,,,
503d40,LY-FAS,,,A320,,,,
4d20b1,9H-MAW,Beech,Baron 58P,BE58,,,,
346091,EC-NCF,,,A20N,,,,
4007f2,G-YMMG,Boeing Company,BOEING 777-236,B772,British Airways,SPEEDBIRD,BAW,BA
405ee1,G-EUYD,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
4d2425,9H-WAQ,,,A21N,,,,
3949eb,F-GSPL,Boeing,777 228ER,B772,Air France,AIRFRANS,AFR,AF
48ad09,SP-LIK,Embraer,EMB-175 LR,E75S,,POLLOT,LOT,
48455d,PH-BGF,Boeing,737NG 7K2/W,B737,,KLM,KLM,
89653d,A6-BMF,,,B78X,,,,
3984c1,F-HBGB,Socata,TBM 700 B,TBM7,,,,
440582,OE-LKF,,,A319,,,,
06a0e7,A7-AMH,,A350-941,A359,Qatar Airways,QATARI,QTR,QR
3965ad,F-GZNN,Boeing,777 328ER,B77W,,AIRFRANS,AFR,
346355,EC-NIY,,A320-271N,A20N,Vueling Airlines,VUELING,VLG,VY
ab00d6,N808NW,Airbus,A330-323,A333,,DELTA,DAL,
4408a6,OE-FPM,Cessna,Citation CJ2+,C25A,,,,
405f32,G-DHLE,Boeing Company,BOEING 767-3JHF,B763,Dhl Air,WORLD EXPRESS,DHK,D0
06a2c5,A7-BEV,,777-300ER,B77W,Qatar Airways,QATARI,QTR,QR
3c6485,D-AIDE,Airbus,A321 231,A321,,LUFTHANSA,DLH,
4cada7,EI-INB,Airbus Industrie,A320-271N,A20N,Ita Airways,,,
347388,EC-NXE,,,A359,,,,
345299,EC-MMX,Boeing,787 8,B788,,EUROPA,AEA,
4b186f,HB-JGP,Bombardier Inc.,BD-700-1A10,GLEX,Premium Jet Ag,,,
3e1b14,D-IBLK,,,C25A,,,,
3c6702,D-AIXB,Airbus,A350 941,A359,,LUFTHANSA,DLH,
4d225d,9H-QDN,Boeing,Boeing 737-8AS (W),B738,Ryanair Ltd. - Ireland,RYANAIR,RYR,
a4e714,N415DX,Airbus Sas,A330-941,A339,Delta Air Lines,DELTA,DAL,DL
4cad47,EI-IFD,,A350-941,A359,Ita Airways,ALITALIA,ITY,AZ
3c6666,D-AISF,Airbus,A321 231,A321,,LUFTHANSA,DLH,
a075a3,N129FE,Boeing,767-3S2F,B763,Federal Express,FEDEX,FDX,FX
4b17f8,HB-JCA,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),BCS3,Swiss International Air Lines,SWISS,SWR,LX
71be20,HL7620,Boeing,Boeing 747-419(BDSF),B744,,ASIANA,AAR,
344158,EC-LOP,Airbus,A320 214,A320,,VUELING,VLG,
4ca8e8,EI-ENW,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
4409c0,OE-IVA,Airbus,A320 214SL,A320,,EASY,EZY,
5001a0,T7-SAI,,,GL5T,,,,
c058be,C-GHPT,The Boeing Company,787-8 (Boeing),B788,,AIR CANADA,ACA,
4d2219,9H-QBW,,737-8AS (W),B738,Malta Air,,MAY,AL
485b44,PH-BKD,Boeing,Boeing 787-10,B78X,Klm Royal Dutch Airlines (koninklijke Luchtvaart Maatschappij N.v.) - Netherlands,KLM,KLM,
485209,PH-HXA,Boeing,737NG 8K2/W,B738,,TRANSAVIA,TRA,
4b169a,HB-IOO,Airbus,A321-212,A321,Swiss International Air Lines,SWISS,SWR,LX
738443,4X-AGH,,A321-251NX,A21N,Arkia Israel Airlines,ARKIA,AIZ,IZ
484c53,PH-EZO,Embraer,EMB-190 STD,E190,,CITY,KLC,
46b82d,SX-NAM,,,A21N,,,,
461fa4,OH-LZO,Airbus,A321 231SL,A321,,FINNAIR,FIN,
392af1,F-GKXR,Airbus,A320 214,A320,,AIRFRANS,AFR,
78071b,B-2082,Boeing,777 F6N,B77L,China Cargo Airlines,CARGO KING,CKK,CK
484ac0,PH-PXZ,Agustawestland,AW.139,A139,,ZXP26,,
4952a5,CS-TUE,,A330-941,A339,Tap Portugal,AIR PORTUGAL,TAP,TP
4520fb,LZ-GPA,,,B734,,,,
aabf87,N792AV,Boeing,787-8,B788,, S.A.,AVA,
345103,EC-MII,Airbus,A330 343E,A333,,,,
4690e2,SX-DGB,Airbus,A320 232,A320,,AEGEAN,AEE,
424b68,M-PORT,,,GL5T,,,,
885282,HS-TTB,,,B77W,,,,
4b1919,HB-JND,Boeing,777-3DEER,B77W,Swiss International Air Lines,SWISS,SWR,LX
343141,EC-KOH,Airbus,A320 214,A320,,IBERIA,IBE,
49410e,CS-PHN,,EMB-505 Phenom 300,E55P,Netjets Europe,FRACTION,NJE,1I
488912,SP-CIT,,,C525,,,,
484556,PH-BXY,Boeing,737NG 8K2/W,B738,,KLM,KLM,
4400f3,OE-KTP,,,SB91,,,,
502d3f,YL-ABA,,,BCS3,,,,
4008b5,G-EUPU,Airbus Industrie,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
394a0c,F-GSQM,Boeing,777 328ER,B77W,,AIRFRANS,AFR,
a92ddf,N69059,Boeing,767-424ER,B764,,UNITED,UAL,
3425ce,EC-JRP,Avions De Transport Regional,ATR 72 212F,AT73,Swiftair,SWIFT,SWT,
4ba9e5,TC-JOE,Airbus,A330 303,A333,,TURKAIR,THY,
344644,EC-MDZ,Airbus,A320 232SL,A320,,VUELING,VLG,
3949f7,F-GSPX,Boeing,777 228ER,B772,,AIRFRANS,AFR,
40753d,G-TUMA,,,B38M,,,,
394a12,F-GSQS,Boeing,777 328ER,B77W,,AIRFRANS,AFR,
3c6752,D-AIZR,Airbus,A320 214SL,A320,,EUROWINGS,EWG,
4ba9ca,TC-JNJ,Airbus,A330 343E,A333,Turkish Airlines,TURKISH,THY,TK
398565,F-HBLF,Embraer,EMB-190 LR,E190,,,,
4952c1,CS-TVA,Airbus,A320 251N ,A20N,Tap Portugal,AIR PORTUGAL,TAP,TP
ab2c0c,N819NW,Airbus,A330-323,A333,,DELTA,DAL,
39c427,F-HRBH,Boeing,787-9,B789,Air France,AIRFRANS,AFR,AF
04012b,ET-ATR,Airbus,A350 941,A359,Ethiopian Airlines,ETHIOPIAN,ETH,ET
896317,A6-ENU,Boeing,Boeing 777-31HER,B77W,Emirates,UAE,UAE,
493283,CS-LTC,Textron Aviation,Citation Latitude,C68A,,,,
345109,EC-MKI,Airbus,A330 202,A332,,IBERIA,IBE,
486483,PH-NXF,,,E295,,,,
485920,PH-GOV,,,B737,,,,
4400b2,OE-LDA,Airbus,Airbus A319 111,A319,Austrian Airlines,AUSTRIAN,AUA,OS
48af0c,SP-LVM,,,B38M,,,,
40688a,G-EUYO,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
405b6a,G-EZDR,Airbus Sas,AIRBUS A319-111,A319,,EASY,EZY,
3950cf,F-GUGP,Airbus,A318 111,A318,Air France,AIRFRANS,AFR,AF
4d241c,9H-WAG,,,A21N,,,,
7815a1,B-304N,,A350-941,A359,China Eastern Airlines,CHINA EASTERN,CES,MU
4ac9f3,SE-ROS,,,A20N,Scandinavian Airlines,SCANDINAVIAN,SAS,SK
44a831,OO-JAQ,Boeing,737NG 8K5/W,B738,,BEAUTY,JAF,
468d07,SX-CHG,,,A20N,,,,
3c6497,D-AIDW,Airbus,A321 231,A321,,LUFTHANSA,DLH,
406890,G-ZBJC,Boeing Company,BOEING 787-8 Dreamliner,B788,British Airways,SPEEDBIRD,BAW,BA
ab8fd0,N844MH,Boeing,767-432ER,B764,,DELTA,DAL,
780f3b,B-7368,Boeing,777 39PER,B77W,,CHINA EASTERN,CES,
342189,EC-JEJ,Airbus,A321 213,A321,,,IBS,
8013c2,VT-TSD,,787-9 Dreamliner,B789,Vistara,,VTI,
02009f,CN-ROW,Boeing,767 343ER,B763,,ROYALAIR MAROC,RAM,
4d2422,9H-WAN,,,A20N,,,,
485a86,PH-TFU,,,B38M,,,,
502ce7,YL-CSM,,A220-300 ,BCS3,Air Baltic,AIRBALTIC,BTI,BT
48455a,PH-BGC,Boeing,737NG 8K2/W,B738,,KLM,KLM,
4acb03,SE-RXC,,,B738,,,,
3985a3,F-HBND,Airbus,A320 214,A320,,AIRFRANS,AFR,
4ca9ed,EI-EVP,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
4077d4,G-VRNB,,A350-1041,A35K,Virgin Atlantic Airways,VIRGIN,VIR,VS
a8b9b3,N661UA,Boeing,767-322,B763,,UNITED,UAL,
3e31d8,D-IKBO,Cessna,Citation CJ2+,C25A,,,,
343194,EC-KRH,Airbus,A320 214,A320,,VUELING,VLG,
39cf0f,F-HTYP,,,A359,Air France,AIRFRANS,AFR,AF
4ca27f,EI-DEK,Airbus Industrie,A320-214,A320,,SHAMROCK,EIN,
a28e10,N264CE,Textron Aviation Inc,525B,C25B,,,,
394a05,F-GSQF,Boeing,777 328ER,B77W,Air France,AIRFRANS,AFR,AF
020118,CN-NMI,Airbus,A320-214,A320,Air Arabia,ARABIA,ABY,G9
407536,G-TTNF,Airbus Industrie,A320-251N,A20N,British Airways,SPEEDBIRD,BAW,BA
c04a7d,C-GCFK,The De Havilland Aircraft Company Of Canada A Division Of Boeing Of Canada Ltd.,DHC-8-102 (Dehavilland),DH8A,Nav Canada,NAV CAN,NVC,
407b8f,G-TTNP,,,A20N,,,,
4ba9c3,TC-JNC,Airbus,A330 203,A332,,TURKAIR,THY,
405a49,G-EUYA,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
471f70,HA-LXO,Airbus,A321 231SL,A321,,WIZZ AIR,WZZ,
4854cf,PH-HBN,,,B738,,,,
3c64a1,D-AIEA,Airbus Industrie,A321-271NX,A21N,Lufthansa,LUFTHANSA,DLH,LH
34644d,EC-NIF,,A321-251NX,A21N,Iberia Express,IBEREXPRESS,IBS,I2
ac0906,N875BD,Boeing,787-8,B788,,,,
485875,PH-EXY,Embraer,EMB-190 STD,E190,Klm,KLM,KLM,KL
440bc1,OE-LND,,,B752,,,,
484c50,PH-EZL,Embraer,EMB-190 STD,E190,,CITY,KLC,
46b82a,SX-NAJ,Airbus,A321 271NXSL,A21N,Aegean Airlines,AEGEAN,AEE,A3
495267,CS-TSG,,,A21N,,,,
4bb288,TC-LTH,,,A21N,,,,
3c56ed,D-AEWM,Airbus,A320 214SL,A320,,EUROWINGS,EWG,
4aca0b,SE-RPK,Boeing,Boeing 737-8JP (W),B738,Norwegian Air Shuttle A.s. T/a Norwegian - Norway,NOR SHUTTLE,NAX,
503e6a,LY-MLI,,,A320,,,,
502d10,YL-AAT,,A220-300,BCS3,Air Baltic,AIRBALTIC,BTI,BT
4b1699,HB-ION,Airbus,A321-212,A321,Swiss International Air Lines Ltd.,SWISSAIR,SWR,SR
7105ab,HZ-AR24,,,B78X,,,,
4076e2,G-NEOT,Airbus Industrie,A321-251NX,A21N,British Airways,SPEEDBIRD,BAW,BA
4bb275,TC-LSU,,,A21N,,,,
40772d,G-UZHX,,,A20N,,,,
738055,4X-EHF,Boeing,737NG 958ER/W,B739,,ELAL,ELY,
344545,EC-MAF,Avions De Transport Regional,ATR 72 500,AT75,,,,
44ce61,OO-SSA,Airbus,A319 111,A319,Brussels Airlines,BEE-LINE,BEL,SN
3949ee,F-GSPO,Boeing,777 228ER,B772,,AIRFRANS,AFR,
346691,EC-NLX,,,A321,,,,
4008b2,G-EUPR,Airbus Industrie,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
3965a3,F-GZND,Boeing,Boeing 777-328(ER),B77W,,AIRFRANS,AFR,
3c6441,D-AIBA,Airbus,A319 112,A319,,LUFTHANSA,DLH,
3424d5,EC-KDG,Airbus,A320 214,A320,,VUELING,VLG,
484442,PH-BXU,Boeing,737NG 8BK/W,B738,,KLM,KLM,
440128,OE-IJZ,Airbus Industrie,A320-214,A320,Easyjet,EASY,EZY,U2
39cf08,F-HTYI,Airbus Industrie,A350-941,A359,Air France,AIRFRANS,AFR,AF
40749b,G-ZBKR,,B787-9,B789,British Airways,SPEEDBIRD,BAW,BA
4a08ed,YR-BGM,Boeing,737-800,B738,Tarom,TAROM,ROT,RO
4ca9cb,EI-LRD,,A321-251NX(LR),A21N,Aer Lingus,SHAMROCK,EIN,EI
4007fb,G-YMMP,Boeing Company,BOEING 777-236,B772,British Airways,SPEEDBIRD,BAW,BA
345692,EC-MXY,A320-251n,,A20N,Iberia Airlines,IBERIA,IBE,IB
440115,OE-EAA,,,C208,,,,
345359,EC-MPV,Airbus,A321 231SL,A321,,VUELING,VLG,
781134,B-8982,Airbus,A330 243,A332,Capital Airlines,CAPITAL DELTA,CPD,
7c8066,VH-ZNC,,,B789,,,,
4b18b8,HB-JJK,Airbus,A320-214,A320,Edelweiss Air,EDELWEISS,EDW,WK
345248,EC-MMH,Airbus,A321 231SL,A321,Vueling Airlines,VUELING,VLG,VY
3c70c7,D-ALFG,,,B77L,Lufthansa Cargo,LUFTHANSA CARGO,GEC,LH
34324f,EC-LEI,Airbus,A319 111,A319,,IBERIA,IBE,
3c666c,D-AISL,Airbus,A321 231,A321,,LUFTHANSA,DLH,
3452c7,EC-MLN,Bombardier,Bombardier CRJ 1000 NG,CRJX,,AIR NOSTRUM,ANE,
3444cc,EC-MAN,Airbus,A320 214SL,A320,,VUELING,VLG,
48548e,PH-EXL,Embraer,EMB-175 200STD,E75L,,CITY,KLC,
3c6917,D-AJHW,Embraer,E190LR,E190,German Airways,GERMAN EAGLE,GER,ZQ
7808cc,B-2035,Boeing, Boeing 777-39L(ER),B77W,,AIR CHINA,CCA,
407cd7,G-LMTA,,,AT76,,,,
3c6672,D-AISR,Airbus,A321 231,A321,,LUFTHANSA,DLH,
020140,CN-NMN,,A320-214 (W),A320,Air Arabia Maroc,ARABIA MAROC,MAC,3O
3991e8,F-HEPI,Airbus,A320 214SL,A320,,AIRFRANS,AFR,
3c64ad,D-AIEM,,,A21N,,,,
4ba956,TC-JJV,Boeing,B777-3F2(ER),B77W,,TURKAIR,THY,
3c65c4,D-AIND,Airbus,A320 271NSL,A20N,Lufthansa,LUFTHANSA,DLH,LH
400b83,G-DBCE,Airbus Sas,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
4ca9ea,EI-EVM,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
407930,G-TTNM,,,A20N,British Airways,SPEEDBIRD,BAW,BA
398568,F-HBLI,Embraer,EMB-190 STD,E190,Hop!,AIR HOP,HOP,A5
406d4c,G-VCRU,Boeing Company,BOEING 787-9 Dreamliner,B789,,VIRGIN,VIR,
4b1a28,HB-JXO,,A320-214 (W),A320,Easyjet Switzerland,TOPSWISS,EZS,DS
4ca56b,EI-DWF,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
4952ab,CS-TUK,,A330-941,A339,Tap Portugal,AIR PORTUGAL,TAP,TP
4d227f,9H-QAW,,,B738,,,,
407688,G-UZHT,,A320-251N,A20N,Easyjet,EASY,EZY,U2
4851b1,PH-BHF,Boeing,787 9,B789,,KLM,KLM,
3965a9,F-GZNJ,Boeing,777 328ER,B77W,,AIRFRANS,AFR,
4d00d5,LX-LQA,Bombardier,DHC-8 402 NG,DH8D,,LUXAIR,LGL,
3c6742,D-AIZB,Airbus,A320 214,A320,,LUFTHANSA,DLH,
8965b8,A6-EFT,,,B77L,,,,
3c674f,D-AIZO,Airbus,A320 214,A320,,LUFTHANSA,DLH,
344487,EC-LXV,Boeing,737NG 85P/W,B738,Air Europa,EUROPA,AEA,UX
71be16,HL7616,Boeing,B747- 446(F),B744,,ASIANA,AAR,
3c49ce,D-ABNN,Airbus,A320 214,A320,,EUROWINGS,EWG,
4007f4,G-YMMI,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
3946e5,F-GRXF,Airbus,A319 111,A319,,AIRFRANS,AFR,
4ca63b,EI-FNJ,Airbus Industrie,A320-214,A320,,SHAMROCK,EIN,
ab1bf0,N815AA,Boeing,787-8,B788,,AMERICAN,AAL,
780abb,B-LRP,Airbus,A350 941,A359,,CATHAY,CPA,
3455d5,EC-MUD,,A330-202,A332,Iberia Airlines,IBERIA,IBE,IB
4ca837,EI-GAM,Airbus,A320 214,A320,,SHAMROCK,EIN,
4d2342,9H-IFX,,,E550,,,,
3cc09c,D-CAGA,Embraer,Phenom 300,E55P,,,,
347245,EC-NTB,,,A359,,,,
495302,CS-TXB,,A321-251NX,A21N,Tap Portugal,AIR PORTUGAL,TAP,TP
407600,G-NEOP,Airbus Industrie,A321-251NX,A21N,British Airways,SPEEDBIRD,BAW,BA
503e82,LY-GYM,,,A320,,,,
44033e,OE-LQA,Airbus Industrie,A319-111,A319,Easyjet,EASY,EZY,U2
4401e4,OE-LQD,,,A319,,,,
3c4b2b,D-ABYK,Boeing,747 830,B748,,LUFTHANSA,DLH,
3461c1,EC-NCJ,,,C56X,,,,
344557,EC-MCU,Airbus,A320 214,A320,,VUELING,VLG,
4bcded,TC-SOM,,,B38M,,,,
3cc187,D-CAPB,Cessna,Citation Encore+,C560,,,,
e48df6,PT-MUI,Boeing,777 32WER,B77W,,TAM,TAM,
48415f,PH-BXF,Boeing,737NG 8K2/W,B738,,KLM,KLM,
392ae7,F-GKXH,Airbus,A320 214,A320,,AIRFRANS,AFR,
34538e,EC-MPG,Boeing,737NG 800/W,B738,Air Europa,EUROPA,AEA,UX
4b1817,HB-JDF,,,A20N,,,,
44cdc5,OO-SNE,Airbus,A320 214,A320,Brussels Airlines,BEE-LINE,BEL,SN
39e68a,F-HZUK,,,BCS3,,,,
344446,EC-LUT,Boeing,737NG 85P/W,B738,Air Europa,EUROPA,AEA,UX
3c4b31,D-ABYQ,Boeing,747 830,B748,,LUFTHANSA,DLH,
02a1b4,TS-INU,,,A320,,,,
3c66aa,D-AIUJ,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
406ae2,G-EUYV,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
344157,EC-LOC,Airbus,A320 214,A320,,VUELING,VLG,
406b20,G-XLEG,Airbus Sas,AIRBUS A380-841,A388,,SPEEDBIRD,BAW,
484165,PH-BXM,Boeing,737NG 8K2/W,B738,,KLM,KLM,
894097,A9C-FF,,,B789,,,,
738052,4X-EHC,Boeing,737NG 958ER/W,B739,,ELAL,ELY,
3c66b0,D-AIUP,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
485b43,PH-BKC,Boeing Charleston (chs),Boeing 787-10,B78X,Klm Royal Dutch Airlines (koninklijke Luchtvaart Maatschappij N.v.) - Netherlands,KLM,KLM,
0101bb,SU-GEK,Boeing,737NG 800/W,B738,,EGYPTAIR,MSR,
346605,EC-NNH,Airbus,A330-202,A332,Iberia Airlines,IBERIA,IBE,IB
3472c4,EC-NUP,,,A320,,,,
3c6650,D-AIRP,Airbus,A321 131,A321,,LUFTHANSA,DLH,
461fa3,OH-LZN,Airbus,Airbus A321 231SL,A321,,FINNAIR,FIN,
400683,G-VIIK,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
502d0d,YL-AAQ,Airbus,A220-330,BCS3,Air Baltic,AIRBALTIC,BTI,BT
347349,EC-NXA,,,B788,,,,
ab1d30,N815NW,Airbus,A330-323,A333,,DELTA,DAL,
406674,G-EUYN,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
48af08,SP-LVI,,,B38M,,,,
452084,LZ-CGW,Boeing,737-46JSF,B734,Cargo Air,CLEVER,CGF,
3c6748,D-AIZH,Airbus,A320 214,A320,,LUFTHANSA,DLH,
abac50,N851NW,Airbus Industrie,A330-223,A332,,DELTA,DAL,
440af4,OE-IWB,,,B738,,,,
4baa53,TC-JRS,Airbus,A321 231,A321,,TURKAIR,THY,
344501,EC-MBT,Airbus,A320 232SL,A320,,VUELING,VLG,
3c6637,D-AIQW,Airbus,A320 211,A320,,LUFTHANSA,DLH,
89505b,V8-DLD,Boeing,787 8,B788,,BRUNEI,RBA,
400cd8,G-EZIY,Airbus Sas,AIRBUS A319-111,A319,,EASY,EZY,
70209b,S2-AJV,,,B788,,,,
4b194a,HB-JPA,Airbus Industrie,A321-271NX,A21N,Swiss International Air Lines,SWISS,SWR,LX
3420cc,EC-IZR,Airbus,A320 214,A320,,IBERIA,IBE,
c004f3,C-FBWS,,,B38M,,,,
347308,EC-NXX,,,B738,,,,
c06a7f,C-GOIO,,A321-271NX,A21N,Air Transat,AIR TRANSAT,TSC,TS
3c7a4a,D-ANRJ,Airbus Industrie,A330-941	,A339,Condor Flugdienst,CONDOR,CFG,DE
394a11,F-GSQR,Boeing,777 328ER,B77W,,AIRFRANS,AFR,
3949f9,F-GSPZ,Boeing,777 228ER,B772,,AIRFRANS,AFR,
347187,EC-NQS,,,C25C,,,,
3e3524,D-ILIA,,,C525,,,,
396669,F-GZTJ,Boeing,737 4S3SF,B734,,,,
06a141,A7-BFH,Boeing,Boeing 777-FDZ,B77L,Qatar Airways Cargo,QATARI,QTR,
44a8a6,OO-JEF,Boeing,737NG 8K5/W,B738,,BEAUTY,JAF,
4d2129,9H-AVE,Dassault,Falcon 50EX,F5EX,,,,
3c64aa,D-AIEJ,,,A21N,,,,
4b027c,HB-AYM,,,A20N,,,,
495038,CS-TAX,,,E195,,,,
3007f2,I-JENE,,,E190,,,,
48520c,PH-HXD,Boeing,737NG 8K2/W,B738,,TRANSAVIA,TRA,
47ba0d,LN-RGO,Airbus,A320 251NSL,A20N,,SCANDINAVIAN,SAS,
3c658c,D-AILL,Airbus,A319 114,A319,,LUFTHANSA,DLH,
02005a,CN-ROB,Boeing,737NG 8B6/W,B738,,ROYALAIR MAROC,RAM,
484ee4,PH-HSD,Boeing,737NG 8K2/W,B738,,KLM,KLM,
485a85,PH-TFT,,,B38M,,,,
392af9,F-GKXZ,Airbus,A320 214,A320,,AIRFRANS,AFR,
34454b,EC-MBY,Airbus,A320 214,A320,,VUELING,VLG,
