icao24,registration,manufacturername,model,typecode,operator,operatorcallsign,operatoricao,operatoriata
495217,CS-TPW,Embraer,EMB-190 LR,E190,,AIR PORTUGAL,TAP,
406a9f,G-ZBJH,Boeing Company,BOEING 787-8 Dreamliner,B788,,SPEEDBIRD,BAW,
3e1a54,D-IBEA,,,C25A,,,,
345205,EC-MKX,Airbus,A319 112,A319,,VUELING,VLG,
440c32,OE-LKV,,,A319,,,,
3c64f5,D-AIGU,Airbus,A340 313X,A343,,LUFTHANSA,DLH,
34440a,EC-LVT,Airbus,A320 232SL,A320,,VUELING,VLG,
a8cc46,N666UA,Boeing,767-322,B763,,UNITED,UAL,
44cdcd,OO-SNM,Airbus Industrie,A320-214,A320,Brussels Airlines,BEE-LINE,BEL,SN
495274,CS-TST,,,B763,,,,
3e1b1e,D-IBLU,,,C25M,,,,
440cbe,OE-LSN,,,A20N,,,,
502d5e,YL-ABM,,,BCS3,,,,
a4dfa6,N413DX,Airbus Sas,A330-941,A339,Delta Air Lines,DELTA,DAL,DL
4ca8d9,EI-ENN,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
0d0bba,XA-MFG,Boeing,787-9,B789,Aeromexico Aerovias De Mexico S.a. De C.v. - Mexico,AEROMEXICO,AMX,
aa9d6e,N783UA,Boeing,777-222,B772,,UNITED,UAL,
4cadb7,EI-IFW,,,B38M,,,,
4d028f,LX-RHC,,,CL60,,,,
4952a9,CS-TUI,,A330-941,A339,Tap Portugal,AIR PORTUGAL,TAP,TP
440065,OE-LQZ,Airbus Industrie,A319-111,A319,Easyjet,EASY,EZY,U2
4b18fd,HB-JMB,Airbus,A340-313,A343,Swiss International Air Lines Ltd.,SWISS,SWR,LX
3c68b4,D-AJET,Embraer,Legacy 650,E35L,,Air Hamburg,AHO,
4b180c,HB-JCU,,,BCS3,,,,
a1b5e7,N20904,Boeing,787-8,B788,,UNITED,UAL,
3c64ae,D-AIEN,,,A21N,,,,
343147,EC-KOM,Airbus,A330 202,A332,Plus Ultra Líneas Aéreas,EUROPA,AEA,
3c65c5,D-AINE,Airbus,A320 271NSL,A20N,,LUFTHANSA,DLH,
44ccc2,OO-SFB,Airbus Industrie,A330-342,A333,Brussels Airlines,BEE-LINE,BEL,SN
342210,EC-JGS,Airbus,A321 213,A321,,IBERIA,IBE,
440713,OE-IJE,Airbus Industrie,,A320,Easyjet,EASY,EZY,U2
3c743a,D-AMAZ,,,B38M,,,,
a8afec,N659UA,Boeing,767-322,B763,,UNITED,UAL,
484cc3,PH-EZS,Embraer,EMB-190 STD,E190,Klm Cityhopper,CITY,KLC,WA
505c07,OM-BYB,Fokker,F100,F100,,,,
4010e9,G-EZBU,Airbus Sas,AIRBUS A319-111,A319,,EASY,EZY,
4073a0,G-UZHC,Airbus,A320 251NSL,A20N,,EASY,EZY,
